name,site-lease,interconnection-agreement,ppa,om,epc,Production Guarantee,PV Syst (All Files)
,Site Lease - Novel - Bartel (ES).pdf,Interconnection Agreement - Novel - Bartel.pdf,,O&M Agreement - Novel - Bartel.pdf,EPC Agreement - Novel - Bartel.pdf,,
,Site Lease - GLD - Canton (ES).pdf,GLD.Interconnection Agreement.Canton.pdf,GLD.PPA.Canton.pdf,O&M Agreement - GLD- Canton.pdf,EPC Agreement - GLD - Canton.pdf,,
,Site Lease - Shine - DuQuoin.pdf,Interconnection Agreement - Shine - DuQuoin.pdf,PP Agreement - Shine - DuQuoin.pdf,O&M Agreement - Shine - DuQuoin.pdf,EPC Agreement - Shine - DuQuoin.pdf,,
,Site Lease - Bullrock - Lakeville.pdf,Interconnection Agreement - Bullrock - Lakeville.pdf,,O&M- Bullrock - Lakeville.pdf,EPC Agreement - Bullrock - Lakeville.pdf,,Lakeville Final Enertis PVsyst 2020 1125.pdf
,,,PP Agreement - RSP - Mt Hope.csv,O&M Agreement - RSP - Mt Hope.csv,EPC Agreement - RSP - Mt Hope.pdf,,Mt Hope PVSYS.pdf
,Site Lease - SunRaise - Pequawket.csv,Interconnection Agreement - SunRaise - Pequawket Trail Baldwin.csv,,O&M Agreement - SunRaise - Pequawket Trail Baldwin.csv,EPC Agreement - SunRaise - Pequawket Trail Baldwin.pdf,,
,Site Lease - Blue Sky- Felicita Town Center.csv,Blue Sky.Interconnection Agreement.Felicita Town Centre.pdf,,O&M - Blue Sky - Felicita Town Center.csv,EPC - Blue Sky - Felicita Town Center.pdf,,BP Felecita Town Center - PVSyst Package.pdf
,Site Lease - Emerald Garden - Mt Kimble.csv,Interconnection Agreement - Emerald Green - Mt Kimble BLDG A.pdf,PP Agreement - Emerald Garden - Mt Kemble.csv,O&M - Emerald Garden - Mt Kimble.csv,EPC - Emerald Garden - Mt Kimble.pdf,,
,Site Green - Emerald Garden - Cape Fear.pdf,Interconnection Agreement - Emerald Green - Cape Fear.pdf,,O&M Agreement - Emerald Green - Cape Fear.csv,,,NC_Cape Fear_PVsyst_07192021.pdf
